roi,win_rate,hands_played,final_bankroll,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_J,card_Q,card_K,card_A,ace_adjustment,bet_threshold,bet_increment,max_bet_units
0.062196307094266275,0.465,1000,10640,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,5,7,20
0.0014691478942213516,0.44,1000,10015,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,6,3,20
-0.05344995140913508,0.425,1000,9450,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,6,5,20
-0.07032007759456838,0.412,1000,9275,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,6,7,20
-0.04975609756097561,0.417,1000,9490,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,3,3,20
0.02848722986247544,0.448,1000,10290,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,3,5,20
-0.0039100684261974585,0.447,1000,9960,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,3,7,20
-0.02667313288069835,0.434,1000,9725,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,4,3,20
0.0004878048780487805,0.438,1000,10005,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,4,5,20
-0.006782945736434108,0.448,1000,9930,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,4,7,20
-0.056317335945151814,0.416,1000,9425,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,5,3,20
-0.005360623781676413,0.447,1000,9945,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,5,5,20
-0.033658536585365856,0.42,1000,9655,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,5,7,20
-0.019005847953216373,0.439,1000,9805,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,6,5,20
0.011208576998050682,0.444,1000,10115,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,6,3,20
0.0359251968503937,0.447,1000,10365,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,3,3,20
-0.012100677637947725,0.428,1000,9875,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,6,7,20
0.015033947623666343,0.45,1000,10155,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,3,5,20
-0.027886497064579255,0.431,1000,9715,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,3,7,20
-0.03602726387536514,0.433,1000,9630,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,4,5,20
-0.0297270955165692,0.43,1000,9695,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,4,3,20
-0.005329457364341085,0.447,1000,9945,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,4,7,20
-0.04452054794520548,0.417,1000,9545,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,5,3,20
0.009699321047526674,0.444,1000,10100,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,5,5,20
0.0014605647517039922,0.442,1000,10015,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,5,7,20
0.01799610894941634,0.448,1000,10185,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,6,3,20
-0.0552297165200391,0.42,1000,9435,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,6,5,20
-0.014720314033366046,0.432,1000,9850,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,6,7,20
0.01121951219512195,0.455,1000,10115,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,3,3,20
-0.0048828125,0.44,1000,9950,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,3,5,20
-0.03894839337877313,0.43,1000,9600,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,3,7,20
